recorded_amine,score_amine,counterfactual_amide,score_amide
c1ccc2c(NCc3ccc4oc([C@@H]5CCCN5Cc5ccc(-c6nnn(CC7CC7)n6)nc5)nc4c3)ccnc2c1,7.898066,O=C(Nc1ccnc2ccccc12)c1ccc2oc([C@@H]3CCCN3Cc3ccc(-c4nnn(CC5CC5)n4)nc3)nc2c1,7.999884
Nc1ccc(CN2CC(CO)C2)cc1N,2.921515,Nc1ccc(C(=O)N2CC(CO)C2)cc1N,3.465729
C#CCNC(=O)c1cccc(-c2ccccc2CCNCc2ccc(C#N)nc2)c1,5.217184,C#CCNC(=O)c1cccc(-c2ccccc2CCNC(=O)c2ccc(C#N)nc2)c1,5.496219
N#Cc1ccc(CNc2ccc(-c3ccc(NCc4nc5ccccc5n4CC4CC4)cc3)cc2)cn1,7.219606,N#Cc1ccc(C(=O)Nc2ccc(-c3ccc(NCc4nc5ccccc5n4CC4CC4)cc3)cc2)cn1,7.488265
c1ccc(CCNC[C@H]2CCCNC2)cc1,4.049448,O=C(NCCc1ccccc1)[C@H]1CCCNC1,5.617031
c1ccc2c(CCNC[C@H]3CCCNC3)c[nH]c2c1,4.343357,O=C(NCCc1c[nH]c2ccccc12)[C@H]1CCCNC1,5.97536
Nc1ccc(Nc2ccccc2CNc2cc(CNc3cccc4cc[nH]c34)ccc2O)cc1,5.090381,Nc1ccc(Nc2ccccc2CNc2cc(C(=O)Nc3cccc4cc[nH]c34)ccc2O)cc1,5.509705
O=C(NCc1c[nH]c2ccccc12)Nc1cccc(-c2ccccc2CCNC(=O)c2ccccc2NC[C@@H]2Cc3ccccc3CN2)c1,7.332693,O=C(NCc1c[nH]c2ccccc12)Nc1cccc(-c2ccccc2CCNC(=O)c2ccccc2NC(=O)[C@@H]2Cc3ccccc3CN2)c1,7.504902
c1cc(NC[C@@H](Cc2c[nH]c3ccccc23)NCc2ccc(CNCCc3c[nH]c4ccccc34)cc2)c2[nH]ccc2c1,5.67975,O=C(Nc1cccc2cc[nH]c12)[C@@H](Cc1c[nH]c2ccccc12)NCc1ccc(CNCCc2c[nH]c3ccccc23)cc1,5.980075
OB(O)c1cccc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c1,5.760079,O=C(Nc1cccc(B(O)O)c1)c1ccc(-c2nnn(CC3CC3)n2)nc1,5.788994
O=C(NCc1c[nH]c2ccccc12)c1cccc(CN(Cc2cccc(CNC34CC(C3)C4)c2)C23CC(C2)C3)c1,7.285644,O=C(NCc1c[nH]c2ccccc12)c1cccc(CN(Cc2cccc(C(=O)NC34CC(C3)C4)c2)C23CC(C2)C3)c1,7.294099
Nc1cc(C(=O)Nc2cccc(B(O)O)c2)ccc1NC[C@@H]1Cc2ccccc2CN1,5.43641,Nc1cc(C(=O)Nc2cccc(B(O)O)c2)ccc1NC(=O)[C@@H]1Cc2ccccc2CN1,5.619182
c1ccc(Nc2ccc(NCc3ccc4nc([C@@H]5CCCN5)oc4c3)cc2)nc1,6.857203,O=C(Nc1ccc(Nc2ccccn2)cc1)c1ccc2nc([C@@H]3CCCN3)oc2c1,7.125463
O=C(NC1CC1)c1ccc2nc(-c3cccc(CNc4ccccn4)c3)oc2c1,7.742428,O=C(Nc1ccccn1)c1cccc(-c2nc3ccc(C(=O)NC4CC4)cc3o2)c1,7.625055
O=C(O)c1cccc(-c2ccc(Nc3ccc(NCc4ccc(-c5nnn(CC6CC6)n5)nc4)cc3)cc2)c1,7.29987,O=C(O)c1cccc(-c2ccc(Nc3ccc(NC(=O)c4ccc(-c5nnn(CC6CC6)n5)nc4)cc3)cc2)c1,7.331205
Nc1ccc(CNCc2ccccc2)cc1N,4.162923,Nc1ccc(C(=O)NCc2ccccc2)cc1N,4.601657
c1ccc2c(c1)CN[C@H](c1nc3ccc(CN4CCC4CNc4ccnc5ccccc45)cc3o1)C2,7.281057,O=C(Nc1ccnc2ccccc12)C1CCN1Cc1ccc2nc([C@@H]3Cc4ccccc4CN3)oc2c1,7.428762
O=C(NCCc1c[nH]c2ccccc12)Nc1cc(CNCCc2c[nH]c3ccccc23)ccc1NCc1ccc(-c2nnn(CC3CC3)n2)nc1,7.529146,O=C(NCCc1c[nH]c2ccccc12)Nc1cc(C(=O)NCCc2c[nH]c3ccccc23)ccc1NCc1ccc(-c2nnn(CC3CC3)n2)nc1,7.517283
c1ccc2c(c1)CCN=C2c1ccc(CNc2ccc(-c3ccccc3CCNCC3CNC3)cc2)cc1,7.315769,O=C(NCCc1ccccc1-c1ccc(NCc2ccc(C3=NCCc4ccccc43)cc2)cc1)C1CNC1,7.88451
c1cc(CO[C@H]2CN3CCC2CC3)ccc1CNc1ccc(-c2ccc3nc(C4CNC4)oc3c2)cc1,7.919988,O=C(Nc1ccc(-c2ccc3nc(C4CNC4)oc3c2)cc1)c1ccc(CO[C@H]2CN3CCC2CC3)cc1,6.854914
c1cc2oc(C3CNC3)nc2cc1CNc1ccc(-c2ccc3nc(C4CCNCC4)oc3c2)cc1,7.943894,O=C(Nc1ccc(-c2ccc3nc(C4CCNCC4)oc3c2)cc1)c1ccc2oc(C3CNC3)nc2c1,6.066297
O=C(Nc1ccc(-c2cccc(CNCCc3ccncc3)c2)cc1)[C@@H](Cc1c[nH]c2ccccc12)NCC1CCN1,7.085632,O=C(NCCc1ccncc1)c1cccc(-c2ccc(NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NCC3CCN3)cc2)c1,7.285459
Oc1cc(Br)ccc1NCC1CCN(Cc2ccc3nc(C4CNC4)oc3c2)CC1,6.578156,O=C(Nc1ccc(Br)cc1O)C1CCN(Cc2ccc3nc(C4CNC4)oc3c2)CC1,6.929253
C#CCNCc1ccc(N)c(N)c1,3.069082,C#CCNC(=O)c1ccc(N)c(N)c1,3.202445
O=C(O)C1(NCc2ccc3oc(-c4ccc5nc([C@H]6CCCN6)oc5c4)nc3c2)CCC1,6.466429,O=C(NC1(C(=O)O)CCC1)c1ccc2oc(-c3ccc4nc([C@H]5CCCN5)oc4c3)nc2c1,6.947916
C[C@H](NCc1ccc2oc(C3CNC3)nc2c1)c1ccccc1,7.208842,C[C@H](NC(=O)c1ccc2oc(C3CNC3)nc2c1)c1ccccc1,7.462512
ClCc1ccccc1CNc1cccc2cc[nH]c12,4.064716,O=C(Nc1cccc2cc[nH]c12)c1ccccc1CCl,4.375808
O=Cc1ccc(CNc2cccc(-c3ccc4c(C=O)c[nH]c4c3)c2)cc1,5.036641,O=Cc1ccc(C(=O)Nc2cccc(-c3ccc4c(C=O)c[nH]c4c3)c2)cc1,5.259127
Oc1cc(Nc2cccc(-c3ccc(NCC4CCN4)cc3)c2)ccc1NC[C@@H]1Cc2ccccc2CN1,7.704289,O=C(Nc1ccc(-c2cccc(Nc3ccc(NC[C@@H]4Cc5ccccc5CN4)c(O)c3)c2)cc1)C1CCN1,7.757756
Nc1c(O)cccc1CNc1c(O)cccc1C(=O)O,3.333349,Nc1c(O)cccc1C(=O)Nc1c(O)cccc1C(=O)O,3.272607
Nc1c(O)cccc1CNc1ccc(-c2c[nH]nc2NCc2cccc(C(=O)NC3CC3)c2)cn1,6.68462,Nc1c(O)cccc1C(=O)Nc1ccc(-c2c[nH]nc2NCc2cccc(C(=O)NC3CC3)c2)cn1,6.432821
c1cncc(-c2ccc(N(Cc3ccc(-c4nnn(CC5CC5)n4)nc3)CC3CCN3)cc2)c1,7.833331,O=C(C1CCN1)N(Cc1ccc(-c2nnn(CC3CC3)n2)nc1)c1ccc(-c2cccnc2)cc1,7.121768
NCCc1ccccc1N[C@H](CNc1ccc(-c2cn(CC3CC3)cn2)cc1)c1ccccc1,6.11865,NCCc1ccccc1N[C@H](C(=O)Nc1ccc(-c2cn(CC3CC3)cn2)cc1)c1ccccc1,6.498166
C[C@H](NCc1ccc2nc(C3CN(Cc4ccc(-c5nc6cc(C#N)ccc6o5)cc4)C3)oc2c1)c1ccccc1,7.060102,C[C@@H](c1ccccc1)N(Cc1ccc2nc(C3CNC3)oc2c1)C(=O)c1ccc(-c2nc3cc(C#N)ccc3o2)cc1,7.447834
c1cc2[nH]c(-c3ccc4nc(-c5ccc(CO[C@H]6CN7CCC6CC7)cc5)[nH]c4c3)nc2cc1CNC12CC(C1)C2,8.212687,O=C(NC12CC(C1)C2)c1ccc2[nH]c(-c3ccc4nc(-c5ccc(CO[C@H]6CN7CCC6CC7)cc5)[nH]c4c3)nc2c1,7.72227
O=C(O)C1CN(Cc2ccc(CNc3ccc(-c4cccc(-c5nnn(CC6CC6)n5)c4)cc3)cc2)C1,7.267633,O=C(Nc1ccc(-c2cccc(-c3nnn(CC4CC4)n3)c2)cc1)c1ccc(CN2CC(C(=O)O)C2)cc1,7.281088
c1cc2nc(C3CNC3)[nH]c2cc1CNc1cc(N2CCC[C@H]2CNC23CC(C2)C3)n[nH]1,7.57879,O=C(NC12CC(C1)C2)[C@@H]1CCCN1c1cc(NCc2ccc3nc(C4CNC4)[nH]c3c2)[nH]n1,7.585249
Nc1cccc(-c2ccc(NC[C@@H]3Cc4ccccc4CN3)cc2)c1,6.580271,Nc1ccc(-c2cccc(NC(=O)[C@@H]3Cc4ccccc4CN3)c2)cc1,7.192666
O=Cc1ccc(CNCCc2cn(CC3CC3)c3ccccc23)cc1,6.047368,O=Cc1ccc(C(=O)NCCc2cn(CC3CC3)c3ccccc23)cc1,6.221085
Nc1ccc(CNc2ccc(-c3cccc(NC(=O)C4(N)CCC4)c3)cc2)cc1N,5.372215,Nc1ccc(-c2cccc(NC(=O)C3(NC(=O)c4ccc(N)c(N)c4)CCC3)c2)cc1,6.154706
N#Cc1ccc(CNc2cccc(B(O)O)c2)cn1,3.442099,N#Cc1ccc(C(=O)Nc2cccc(B(O)O)c2)cn1,3.643939
C[C@@H](NC(=O)[C@@H]1CCCN(CC2CCN2)C1)c1ccccc1,5.790843,C[C@@H](NC(=O)[C@@H]1CCCN(C(=O)C2CCN2)C1)c1ccccc1,7.110174
OB(O)c1cccc(NCc2ccc(O)c(NCc3ccncc3)c2)c1,4.129253,O=C(Nc1cc(CNc2cccc(B(O)O)c2)ccc1O)c1ccncc1,4.147372
Nc1cc(C(=O)O)ccc1NCc1ccc2nc(C3CNC3)[nH]c2c1,6.29172,Nc1cc(C(=O)O)ccc1NC(=O)c1ccc2nc(C3CNC3)[nH]c2c1,6.173455
O=Cc1ccc(C(=O)Nc2cccc(-c3ccc(NCc4ccc(CO[C@H]5CN6CCC5CC6)cc4)cc3)c2)cc1,7.708228,O=Cc1ccc(C(=O)Nc2cccc(-c3ccc(NC(=O)c4ccc(CO[C@H]5CN6CCC5CC6)cc4)cc3)c2)cc1,7.616847
Nc1cc(C(=O)N2CC(C(=O)O)C2)ccc1NCc1ccc2oc(C3CNC3)nc2c1,6.865542,Nc1cc(C(=O)N2CC(C(=O)O)C2)ccc1NC(=O)c1ccc2oc(C3CNC3)nc2c1,6.691207
O=C(NCCc1c[nH]c2ccccc12)Nc1ccc(-c2ccc(Nc3ncccc3NC[C@@H]3Cc4ccccc4CN3)cc2)cc1,7.215747,O=C(NCCc1c[nH]c2ccccc12)Nc1ccc(-c2ccc(Nc3ncccc3NC(=O)[C@@H]3Cc4ccccc4CN3)cc2)cc1,7.288447
N#Cc1cccc(COCC2CN(C3CN(Cc4ccc5nc(C6CNC6)[nH]c5c4)C3)C2)c1,6.965675,N#Cc1cccc(COCC2CN(C3CN(C(=O)c4ccc5nc(C6CNC6)[nH]c5c4)C3)C2)c1,6.991755
c1cc(NC[C@H]2CCCNC2)c2[nH]ccc2c1,3.979287,O=C(Nc1cccc2cc[nH]c12)[C@H]1CCCNC1,5.561234
Nc1cc(-c2cccc(NC3CCN(Cc4ccc5oc(C6CNC6)nc5c4)CC3)c2)n[nH]1,7.515783,Nc1cc(-c2cccc(N(C(=O)c3ccc4oc(C5CNC5)nc4c3)C3CCNCC3)c2)n[nH]1,6.430842
c1cc(NCC2CNC2)cc(-c2ccc(NCc3ccc4[nH]c([C@@H]5CCCN5)nc4c3)cc2)c1,7.944577,O=C(Nc1cccc(-c2ccc(NCc3ccc4[nH]c([C@@H]5CCCN5)nc4c3)cc2)c1)C1CNC1,8.008548
N#Cc1ccc2oc(-c3cccc(-c4ccc(NCc5ccc(N)c(O)c5)cc4)c3)nc2c1,6.025326,N#Cc1ccc2oc(-c3cccc(-c4ccc(NC(=O)c5ccc(N)c(O)c5)cc4)c3)nc2c1,6.148981
Nc1cc(CNc2cc(CN3CCC(=O)C3)ccc2N)ccc1O,4.329635,Nc1cc(C(=O)Nc2cc(CN3CCC(=O)C3)ccc2N)ccc1O,4.390182
Nc1ccc(CNc2ccc(-c3ccc(C=O)cc3)cc2O)cc1N,4.86055,Nc1ccc(C(=O)Nc2ccc(-c3ccc(C=O)cc3)cc2O)cc1N,4.835608
ClCc1ccc(CNc2cccc(-c3cc(NCc4ccc5oc(C6CNC6)nc5c4)[nH]n3)c2)cc1,7.491283,O=C(Nc1cc(-c2cccc(NCc3ccc(CCl)cc3)c2)n[nH]1)c1ccc2oc(C3CNC3)nc2c1,7.467165
Nc1ccc(CNc2c(O)cccc2C(=O)NCc2ccccc2)cc1O,4.754839,Nc1ccc(C(=O)Nc2c(O)cccc2C(=O)NCc2ccccc2)cc1O,4.845762
O=C(O)c1ccc(O)c(NCc2ccc3nc(-c4ccc(CO[C@H]5CN6CCC5CC6)cc4)oc3c2)c1,7.339115,O=C(O)c1ccc(O)c(NC(=O)c2ccc3nc(-c4ccc(CO[C@H]5CN6CCC5CC6)cc4)oc3c2)c1,7.350399
O=Cc1cccc(CN2CC[C@@H](O)C2)c1,3.267455,O=Cc1cccc(C(=O)N2CC[C@@H](O)C2)c1,3.227306
O=Cc1ccc(CNCCc2ccncc2)cc1,4.085921,O=Cc1ccc(C(=O)NCCc2ccncc2)cc1,4.342165
O=C(NC1CC1)c1ccc(-c2nc3cc(CNc4ccccc4C(=O)NCc4ccc(C(F)(F)F)cc4)ccc3o2)cc1,7.44313,O=C(Nc1ccccc1C(=O)NCc1ccc(C(F)(F)F)cc1)c1ccc2oc(-c3ccc(C(=O)NC4CC4)cc3)nc2c1,7.631906
N#Cc1ccc(NCc2ccc(CCl)cc2)c(NC2CCCN(C3CNC3)C2)c1,5.12512,N#Cc1ccc(NC(=O)c2ccc(CCl)cc2)c(NC2CCCN(C3CNC3)C2)c1,5.158942
Fc1ncc(-c2ccc(N(Cc3ccc4oc(C5CCN5)nc4c3)C[C@@H]3Cc4ccccc4CN3)nc2)cn1,7.461775,O=C([C@@H]1Cc2ccccc2CN1)N(Cc1ccc2oc(C3CCN3)nc2c1)c1ccc(-c2cnc(F)nc2)cn1,7.198308
O=C(O)c1cccc(-c2cccc(-c3nc4cc(CNC56CC(C5)C6)ccc4o3)c2)c1,6.970635,O=C(O)c1ccc2oc(-c3cccc(-c4cccc(C(=O)NC56CC(C5)C6)c4)c3)nc2c1,6.909647
N[C@@H](CN[C@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccccc1,3.634454,N[C@@H](C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)O)c1ccccc1,4.333088
O=C(C1CCN(C[C@@H]2Cc3ccccc3CN2)CC1)N1CC(COCc2cc(=O)[nH]c3ccccc23)C1,7.258419,O=C(C1CCN(C(=O)[C@@H]2Cc3ccccc3CN2)CC1)N1CC(COCc2cc(=O)[nH]c3ccccc23)C1,7.395445
N#Cc1ccc(CNc2ccc(-c3cccc(NC[C@@H]4Cc5ccccc5CN4)c3)cc2N)cn1,7.016882,N#Cc1ccc(C(=O)Nc2cc(-c3cccc(NC[C@@H]4Cc5ccccc5CN4)c3)ccc2N)cn1,7.195328
O=C(Nc1ccccc1O)c1ccc(CN(C[C@@H]2Cc3ccccc3CN2C[C@@H]2Cc3ccccc3CN2)c2ccnc3ccccc23)cc1,6.647552,O=C(Nc1ccccc1O)c1ccc(CN(C[C@@H]2Cc3ccccc3CN2C(=O)[C@@H]2Cc3ccccc3CN2)c2ccnc3ccccc23)cc1,6.633197
Nc1ccccc1CNc1ccc(C(=O)Nc2ccc(Br)cc2)cc1N,5.154778,Nc1cc(C(=O)Nc2ccc(Br)cc2)ccc1NC(=O)c1ccccc1N,5.111557
Oc1ccc(CNC23CC(C2)C3)cc1NCC1CNC1,6.748436,O=C(Nc1cc(CNC23CC(C2)C3)ccc1O)C1CNC1,7.049496
O=C(O)C1CN(Cc2ccc3oc(C4CNC4)nc3c2)C1,5.808597,O=C(O)C1CN(C(=O)c2ccc3oc(C4CNC4)nc3c2)C1,6.464851
Nc1ccc(CNc2cccc(-c3cccc4nc(-c5ccnc(Br)c5)oc34)c2)cc1O,5.752735,Nc1ccc(C(=O)Nc2cccc(-c3cccc4nc(-c5ccnc(Br)c5)oc34)c2)cc1O,5.710749
O=C(c1ccc2nc(C3CNC3)oc2c1)N1CCC1CNc1ccc(B(O)O)cc1,6.362597,O=C(Nc1ccc(B(O)O)cc1)C1CCN1C(=O)c1ccc2nc(C3CNC3)oc2c1,6.344163
O=C(c1ccccc1NCc1cn(CC2CC2)c2ccccc12)N1CCC(CNC23CC(C2)C3)CC1,7.37353,O=C(NC12CC(C1)C2)C1CCN(C(=O)c2ccccc2NCc2cn(CC3CC3)c3ccccc23)CC1,7.54054
O=C(NCCc1ccccc1-c1cccc(NCc2ccc3[nH]c(C4CNC4)nc3c2)c1)C1CCNCC1,7.86611,O=C(Nc1cccc(-c2ccccc2CCNC(=O)C2CCNCC2)c1)c1ccc2[nH]c(C3CNC3)nc2c1,7.720734
Nc1ccc(CNc2cc(Br)ccc2O)cc1N,3.530527,Nc1ccc(C(=O)Nc2cc(Br)ccc2O)cc1N,3.654492
c1cc2nc(-c3ccc4oc(-c5ccc(CO[C@H]6CN7CCC6CC7)cc5)nc4c3)oc2cc1CNC12CC(C1)C2,8.050237,O=C(NC12CC(C1)C2)c1ccc2nc(-c3ccc4oc(-c5ccc(CO[C@H]6CN7CCC6CC7)cc5)nc4c3)oc2c1,8.061749
O=C(Nc1ccnc2ccccc12)c1ccc(NCc2ccc(CCl)cc2)c(O)c1,5.854781,O=C(Nc1ccc(C(=O)Nc2ccnc3ccccc23)cc1O)c1ccc(CCl)cc1,5.934717
Nc1ccccc1CNc1cccc(-c2ccc3nc(C4CCNCC4)[nH]c3c2)c1,7.015054,Nc1ccccc1C(=O)Nc1cccc(-c2ccc3nc(C4CCNCC4)[nH]c3c2)c1,6.796868
c1cc(C2=NCCc3ccccc32)cc(-c2nc3ccc(CN(C[C@@H]4CCCNC4)C45CC(C4)C5)cc3o2)c1,7.290476,O=C([C@@H]1CCCNC1)N(Cc1ccc2nc(-c3cccc(C4=NCCc5ccccc54)c3)oc2c1)C12CC(C1)C2,7.72426
c1ccc2c(CCNC[C@@H]3CCCN3)c[nH]c2c1,4.140224,O=C(NCCc1c[nH]c2ccccc12)[C@@H]1CCCN1,5.721309
c1cc(NCC2CNC2)cc(-c2cccc3nc(-c4cn(CC5CC5)c5ccccc45)oc23)c1,7.609129,O=C(Nc1cccc(-c2cccc3nc(-c4cn(CC5CC5)c5ccccc45)oc23)c1)C1CNC1,7.843183
Fc1nc(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c2ncn(CC3CC3)c2n1,7.771483,O=C(Nc1nc(F)nc2c1ncn2CC1CC1)c1ccc(-c2nnn(CC3CC3)n2)nc1,7.872464
Brc1ncccc1NCC1CNC1,4.001843,O=C(Nc1cccnc1Br)C1CNC1,5.549881
c1ccc(N(C[C@@H]2Cc3ccccc3CN2)c2cncc(-c3nnn(Cc4ccc(-c5nnn(CC6CC6)n5)cc4)n3)c2)nc1,7.6657,O=C([C@@H]1Cc2ccccc2CN1)N(c1cncc(-c2nnn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)n2)c1)c1ccccn1,7.488316
Oc1cc(NCCc2cn(CC3CC3)c3ccccc23)ccc1NC[C@@H]1Cc2ccccc2CN1,7.554936,O=C(Nc1ccc(NCCc2cn(CC3CC3)c3ccccc23)cc1O)[C@@H]1Cc2ccccc2CN1,7.476674
